datetime,open,high,low,close,hlc3,ST_First_Period_Value,ST_First_Period_Direction,ST_Second_Period_Value,ST_Second_Period_Direction,EMA9,EMA21,RSI,SmoothedRSI,PPO_HLC3_EMA9,PPO_EMA9_EMA21,PPO_RSI_EMARSI,ROC_HLC3,ROC_EMA9,ROC_EMA21,ROC_RSI,ROC_EMARSI
2024-09-16 14:30:00+05:30,25394.8,25405.1,25387.95,25389.7,25394.25,25378.71,1,25356.04,1,25392.43,25390.35,49.38,48.48,0.72,0.82,185.64,0.2,0.18,0.15,-536.6,28.96
2024-09-16 14:45:00+05:30,25388.8,25397.9,25386.85,25391.45,25392.07,25378.71,1,25356.04,1,25392.36,25390.51,50.31,48.72,-0.11,0.73,326.35,-0.86,-0.03,0.06,188.34,49.5
2024-09-16 15:00:00+05:30,25389.75,25397.7,25384.95,25386.4,25389.68,25378.71,1,25356.04,1,25391.82,25390.43,47.59,48.57,-0.84,0.55,-201.77,-0.94,-0.21,-0.03,-540.65,-30.79
2024-09-16 15:15:00+05:30,25386.45,25390.3,25375.5,25377.2,25381.0,25412.04,-1,25356.04,1,25389.66,25389.57,43.02,47.83,-3.41,0.04,-1005.64,-3.42,-0.85,-0.34,-960.29,-152.36
2024-09-17 09:15:00+05:30,25416.9,25416.9,25356.85,25378.9,25384.22,25412.04,-1,25356.04,1,25388.57,25389.09,44.09,47.33,-1.71,-0.2,-684.56,1.27,-0.43,-0.19,248.72,-104.54
2024-09-17 09:30:00+05:30,25378.4,25401.6,25372.85,25389.95,25388.13,25412.04,-1,25356.04,1,25388.48,25389.0,50.57,47.76,-0.14,-0.2,588.36,1.54,-0.04,-0.04,1469.72,90.85
2024-09-17 09:45:00+05:30,25390.25,25397.25,25352.25,25363.9,25371.13,25412.04,-1,25356.04,1,25385.01,25387.37,39.07,46.6,-5.47,-0.93,-1615.88,-6.7,-1.37,-0.64,-2274.08,-242.88
2024-09-17 10:00:00+05:30,25364.15,25384.35,25355.5,25373.9,25371.25,25410.08,-1,25356.04,1,25382.26,25385.91,44.31,46.3,-4.34,-1.44,-429.81,0.05,-1.08,-0.58,1341.18,-64.38
2024-09-17 10:15:00+05:30,25374.8,25383.9,25368.1,25381.2,25377.73,25410.08,-1,25356.04,1,25381.35,25385.17,47.83,46.5,-1.43,-1.5,286.02,2.55,-0.36,-0.29,794.4,43.2
2024-09-17 10:30:00+05:30,25381.05,25409.5,25376.5,25402.85,25396.28,25410.08,-1,25356.04,1,25384.34,25386.18,56.6,47.85,4.7,-0.72,1828.63,7.31,1.18,0.4,1833.58,290.32
2024-09-17 10:45:00+05:30,25401.95,25414.7,25390.6,25409.35,25404.88,25410.08,-1,25356.04,1,25388.45,25387.88,58.84,49.31,6.47,0.22,1932.67,3.39,1.62,0.67,395.76,305.12
2024-09-17 11:00:00+05:30,25408.85,25415.85,25392.35,25401.4,25403.2,25410.08,-1,25356.04,1,25391.4,25389.27,55.1,50.09,4.65,0.84,1000.2,-0.66,1.16,0.55,-635.62,158.18
2024-09-17 11:15:00+05:30,25405.7,25432.7,25399.2,25418.05,25416.65,25375.95,1,25356.04,1,25396.45,25391.76,60.73,51.5,7.95,1.85,1792.23,5.29,1.99,0.98,1021.78,281.49
2024-09-17 11:30:00+05:30,25417.65,25420.35,25404.85,25407.45,25410.88,25375.95,1,25356.04,1,25399.33,25393.5,55.92,52.09,4.55,2.3,735.27,-2.27,1.13,0.69,-792.03,114.56
2024-09-17 11:45:00+05:30,25407.0,25422.1,25405.6,25421.9,25416.53,25376.96,1,25356.04,1,25402.77,25395.59,60.51,53.22,5.42,2.83,1369.79,2.22,1.35,0.82,820.82,216.93
2024-09-17 12:00:00+05:30,25421.75,25423.6,25409.95,25412.55,25415.37,25381.57,1,25358.1,1,25405.29,25397.39,56.42,53.64,3.97,3.11,518.27,-0.46,0.99,0.71,-675.92,78.92
2024-09-17 12:15:00+05:30,25411.85,25419.45,25404.05,25417.35,25413.62,25381.57,1,25358.1,1,25406.96,25398.86,57.99,54.22,2.62,3.19,695.32,-0.69,0.66,0.58,278.27,108.13
2024-09-17 12:30:00+05:30,25416.4,25428.9,25416.05,25427.1,25424.02,25390.0,1,25368.35,1,25410.37,25401.15,61.06,55.13,5.37,3.63,1075.64,4.09,1.34,0.9,529.4,167.83
2024-09-17 12:45:00+05:30,25426.8,25436.85,25422.4,25426.4,25428.55,25398.25,1,25377.33,1,25414.01,25403.64,60.72,55.88,5.72,4.08,866.14,1.78,1.43,0.98,-55.68,136.04
2024-09-17 13:00:00+05:30,25426.35,25431.35,25421.1,25425.7,25426.05,25398.25,1,25377.33,1,25416.42,25405.68,60.35,56.48,3.79,4.23,685.2,-0.98,0.95,0.8,-60.94,107.37
2024-09-17 13:15:00+05:30,25424.8,25429.3,25412.6,25422.9,25421.6,25398.25,1,25377.33,1,25417.45,25407.13,58.83,56.79,1.63,4.06,359.22,-1.75,0.41,0.57,-251.86,54.89
2024-09-17 13:30:00+05:30,25423.5,25437.95,25420.1,25436.95,25431.67,25400.0,1,25380.65,1,25420.3,25409.36,63.77,57.72,4.47,4.31,1048.16,3.96,1.12,0.88,839.71,163.76
2024-09-17 13:45:00+05:30,25435.95,25441.65,25424.35,25426.05,25430.68,25404.29,1,25385.15,1,25422.37,25411.3,57.96,57.75,3.27,4.36,36.36,-0.39,0.81,0.76,-911.09,5.2
2024-09-17 14:00:00+05:30,25425.7,25434.15,25422.0,25426.2,25427.45,25404.29,1,25385.15,1,25423.39,25412.76,58.01,57.79,1.6,4.18,38.07,-1.27,0.4,0.57,8.63,6.93
2024-09-17 14:15:00+05:30,25425.3,25438.35,25423.6,25428.7,25430.22,25404.29,1,25385.82,1,25424.75,25414.35,59.01,57.95,2.15,4.09,182.92,1.09,0.53,0.63,172.38,27.69
2024-09-17 14:30:00+05:30,25428.35,25433.85,25410.9,25422.6,25422.45,25404.29,1,25385.82,1,25424.29,25415.09,55.55,57.63,-0.72,3.62,-360.92,-3.06,-0.18,0.29,-586.34,-55.22
2024-09-17 14:45:00+05:30,25422.75,25429.7,25408.45,25417.05,25418.4,25404.29,1,25385.82,1,25423.11,25415.39,52.54,56.95,-1.85,3.04,-774.36,-1.59,-0.46,0.12,-541.85,-117.99
2024-09-17 15:00:00+05:30,25417.25,25429.2,25410.8,25418.45,25419.48,25404.29,1,25385.82,1,25422.39,25415.76,53.23,56.45,-1.14,2.61,-570.42,0.42,-0.28,0.15,131.33,-87.8
2024-09-17 15:15:00+05:30,25418.8,25421.55,25404.8,25407.15,25411.17,25404.29,1,25385.82,1,25420.14,25415.34,47.26,55.23,-3.53,1.89,-1443.06,-3.27,-0.89,-0.17,-1121.55,-216.12
2024-09-18 09:15:00+05:30,25402.4,25418.15,25380.8,25404.0,25400.98,25430.17,-1,25385.82,1,25416.31,25414.04,45.73,53.96,-6.03,0.89,-1525.2,-4.01,-1.51,-0.51,-323.74,-229.95
2024-09-18 09:30:00+05:30,25404.7,25434.05,25394.0,25433.7,25420.58,25380.37,1,25385.82,1,25417.17,25414.63,59.21,54.66,1.34,1.0,832.42,7.72,0.34,0.23,2947.74,129.73
