tradingsymbol,instrument_key
Nifty_50,Nifty 50
Nifty_Bank,Nifty Bank
Nifty_IT,Nifty IT
Nifty_AUTO,Nifty Auto
Nifty_ENERGY,Nifty Energy
Nifty_INFRA,Nifty Infra
Nifty_FMCG,Nifty FMCG
Nifty_METAL,Nifty Metal
Nifty_PHARMA,Nifty Pharma
Nifty_PSU_Bank,Nifty PSU Bank
Nifty_Private_Bank,Nifty Pvt Bank
Nifty_Fin_Service,Nifty Fin Service
