datetime,open,high,low,close,hlc3,ST_First_Period_Value,ST_First_Period_Direction,ST_Second_Period_Value,ST_Second_Period_Direction,EMA9,EMA21,RSI,SmoothedRSI
2024-09-12 09:15:00+05:30,25059.65,25072.55,25010.1,25057.05,25046.57,0.0,1,0.0,1,,,,
2024-09-12 09:30:00+05:30,25057.05,25070.7,25008.45,25045.75,25041.63,,1,,1,,,,
2024-09-12 09:45:00+05:30,25045.4,25056.25,24981.9,24992.4,25010.18,,1,,1,,,,
2024-09-12 10:00:00+05:30,24995.85,25041.85,24984.1,25017.2,25014.38,,1,,1,,,,
2024-09-12 10:15:00+05:30,25019.05,25029.35,24999.6,25015.55,25014.83,,1,,1,,,,
2024-09-12 10:30:00+05:30,25015.6,25031.15,24982.85,24996.8,25003.6,,1,,1,,,,
2024-09-12 10:45:00+05:30,24997.7,25018.85,24979.6,25010.7,25003.05,,1,,1,,,,
2024-09-12 11:00:00+05:30,25009.6,25025.95,24993.0,25008.3,25009.08,,1,,1,,,,
2024-09-12 11:15:00+05:30,25007.95,25036.8,24941.45,24961.55,24979.93,,1,,1,25013.69,,,
2024-09-12 11:30:00+05:30,24963.3,25021.1,24955.15,25013.55,24996.6,,1,,1,25010.28,,,
2024-09-12 11:45:00+05:30,25010.1,25019.15,24981.05,25002.65,25000.95,24918.91,1,24864.78,1,25008.41,,,
2024-09-12 12:00:00+05:30,25000.55,25014.65,24982.75,25011.2,25002.87,24922.37,1,24871.48,1,25007.3,,,
2024-09-12 12:15:00+05:30,25010.3,25014.95,24963.75,24988.3,24989.0,24922.37,1,24871.48,1,25003.64,,,
2024-09-12 12:30:00+05:30,24988.9,25009.8,24967.3,25003.7,24993.6,24922.37,1,24871.48,1,25001.63,,,
2024-09-12 12:45:00+05:30,25002.65,25003.55,24969.95,25000.35,24991.28,24922.37,1,24871.48,1,24999.56,,43.27,43.27
2024-09-12 13:00:00+05:30,25000.25,25019.7,24981.3,24996.35,24999.12,24930.68,1,24884.14,1,24999.47,,42.23,43.13
2024-09-12 13:15:00+05:30,24994.15,25016.0,24981.45,24996.15,24997.87,24931.12,1,24886.04,1,24999.15,,42.18,43.0
2024-09-12 13:30:00+05:30,24996.15,25004.0,24977.1,24995.05,24992.05,24931.12,1,24886.04,1,24997.73,,41.86,42.85
2024-09-12 13:45:00+05:30,24995.4,25023.8,24990.9,25011.4,25008.7,24944.78,1,24903.06,1,24999.93,,48.16,43.56
2024-09-12 14:00:00+05:30,25010.8,25230.2,25008.6,25204.7,25147.83,25025.63,1,24963.11,1,25029.51,,78.22,48.18
2024-09-12 14:15:00+05:30,25204.55,25263.65,25203.8,25251.8,25239.75,25140.41,1,25078.2,1,25071.56,25022.99,81.1,52.57
2024-09-12 14:30:00+05:30,25252.6,25269.45,25244.55,25258.3,25257.43,25169.97,1,25111.95,1,25108.73,25044.31,81.46,56.42
2024-09-12 14:45:00+05:30,25259.25,25350.45,25256.8,25348.0,25318.42,25210.66,1,25148.69,1,25150.67,25069.23,85.59,60.31
2024-09-12 15:00:00+05:30,25347.85,25433.35,25347.85,25414.95,25398.72,25293.77,1,25229.21,1,25200.28,25099.18,87.77,63.97
2024-09-12 15:15:00+05:30,25416.7,25417.25,25310.25,25314.95,25347.48,25293.77,1,25229.21,1,25229.72,25121.75,70.56,64.85
2024-09-13 09:15:00+05:30,25430.45,25430.5,25312.3,25315.9,25352.9,25293.77,1,25229.21,1,25254.36,25142.77,70.62,65.62
2024-09-13 09:30:00+05:30,25314.95,25371.75,25292.45,25339.75,25334.65,25293.77,1,25229.21,1,25270.41,25160.21,72.13,66.49
2024-09-13 09:45:00+05:30,25341.45,25354.5,25321.75,25326.55,25334.27,25293.77,1,25229.21,1,25283.19,25176.03,69.98,66.95
2024-09-13 10:00:00+05:30,25327.2,25352.1,25325.0,25326.0,25334.37,25293.77,1,25229.21,1,25293.42,25190.43,69.89,67.35
2024-09-13 10:15:00+05:30,25327.0,25352.65,25325.3,25352.55,25343.5,25293.77,1,25229.21,1,25303.44,25204.34,71.84,67.94
2024-09-13 10:30:00+05:30,25354.0,25377.85,25349.5,25359.05,25362.13,25293.77,1,25229.21,1,25315.18,25218.69,72.31,68.53
2024-09-13 10:45:00+05:30,25359.25,25370.55,25353.45,25368.0,25364.0,25293.77,1,25229.21,1,25324.94,25231.9,72.98,69.12
2024-09-13 11:00:00+05:30,25369.0,25393.8,25360.45,25382.35,25378.87,25299.24,1,25247.31,1,25335.73,25245.26,74.07,69.78
2024-09-13 11:15:00+05:30,25381.9,25384.6,25359.15,25363.8,25369.18,25299.24,1,25248.89,1,25342.42,25256.52,70.14,69.83
2024-09-13 11:30:00+05:30,25363.4,25377.45,25355.25,25364.2,25365.63,25299.24,1,25250.31,1,25347.06,25266.44,70.18,69.88
2024-09-13 11:45:00+05:30,25364.55,25371.0,25360.25,25368.25,25366.5,25301.49,1,25258.73,1,25350.95,25275.54,70.57,69.97
2024-09-13 12:00:00+05:30,25368.5,25379.0,25359.15,25376.55,25371.57,25308.45,1,25268.04,1,25355.07,25284.27,71.41,70.16
2024-09-13 12:15:00+05:30,25375.75,25387.5,25368.45,25385.45,25380.47,25320.62,1,25282.39,1,25360.15,25293.01,72.32,70.45
2024-09-13 12:30:00+05:30,25385.15,25389.3,25377.1,25379.8,25382.07,25329.83,1,25294.24,1,25364.54,25301.11,70.78,70.49
2024-09-13 12:45:00+05:30,25378.95,25390.65,25370.6,25383.6,25381.62,25329.83,1,25295.62,1,25367.95,25308.43,71.22,70.59
2024-09-13 13:00:00+05:30,25384.1,25387.4,25375.85,25385.15,25382.8,25334.04,1,25302.31,1,25370.92,25315.19,71.41,70.7
2024-09-13 13:15:00+05:30,25384.55,25386.2,25350.75,25353.45,25363.47,25334.04,1,25302.31,1,25369.43,25319.58,62.34,69.58
2024-09-13 13:30:00+05:30,25354.0,25367.75,25346.6,25364.8,25359.72,25334.04,1,25302.31,1,25367.49,25323.23,64.1,68.85
