datetime,open,high,low,close,hlc3,ST_First_Period_Value,ST_First_Period_Direction,ST_Second_Period_Value,ST_Second_Period_Direction,EMA9,EMA21,RSI,SmoothedRSI,PPO_HLC3_EMA9,PPO_EMA9_EMA21,PPO_RSI_EMARSI,ROC_HLC3,ROC_EMA9,ROC_EMA21,ROC_RSI,ROC_EMARSI
2024-09-25 11:00:00+05:30,25915.1,25918.5,25912.8,25914.3,25915.2,25889.9,1,25876.45,1,25917.48,25924.72,43.03,41.86,-0.88,-2.79,279.5,0.22,-0.22,-0.37,-64.65,43.19
2024-09-25 11:05:00+05:30,25915.0,25928.05,25910.6,25917.0,25918.55,25892.22,1,25878.67,1,25917.69,25924.16,45.62,42.36,0.33,-2.5,769.59,1.29,0.08,-0.22,601.91,119.45
2024-09-25 11:10:00+05:30,25916.85,25920.7,25912.45,25914.95,25916.03,25892.22,1,25878.67,1,25917.36,25923.42,43.98,42.58,-0.51,-2.34,328.79,-0.97,-0.13,-0.29,-359.49,51.94
2024-09-25 11:15:00+05:30,25915.0,25921.1,25912.25,25917.85,25917.07,25892.22,1,25879.11,1,25917.3,25922.85,46.89,43.15,-0.09,-2.14,866.74,0.4,-0.02,-0.22,661.66,133.87
2024-09-25 11:20:00+05:30,25918.5,25924.55,25914.1,25922.0,25920.22,25894.73,1,25882.43,1,25917.89,25922.61,50.81,44.17,0.9,-1.82,1503.28,1.22,0.23,-0.09,836.0,236.38
2024-09-25 11:25:00+05:30,25922.85,25930.9,25922.8,25925.2,25926.3,25902.98,1,25891.04,1,25919.57,25922.94,53.66,45.44,2.6,-1.3,1808.98,2.35,0.65,0.13,560.91,287.53
2024-09-25 11:30:00+05:30,25925.7,25927.9,25920.85,25925.15,25924.63,25902.98,1,25891.04,1,25920.58,25923.1,53.61,46.53,1.56,-0.97,1521.6,-0.64,0.39,0.06,-9.32,239.88
2024-09-25 11:35:00+05:30,25924.85,25930.55,25920.5,25921.4,25924.15,25902.98,1,25891.71,1,25921.3,25923.19,49.7,46.95,1.1,-0.73,585.73,-0.19,0.28,0.03,-729.34,90.26
2024-09-25 11:40:00+05:30,25922.1,25922.6,25901.75,25902.6,25908.98,25936.73,-1,25891.71,1,25918.83,25921.9,35.67,45.45,-3.8,-1.18,-2151.82,-5.85,-0.95,-0.5,-2822.94,-319.49
2024-09-25 11:45:00+05:30,25903.6,25903.6,25879.05,25900.15,25894.27,25918.44,-1,25891.71,1,25913.92,25919.39,34.31,43.96,-7.58,-2.11,-2195.18,-5.68,-1.89,-0.97,-381.27,-327.83
2024-09-25 11:50:00+05:30,25901.0,25902.3,25873.9,25877.75,25884.65,25918.31,-1,25933.41,-1,25908.07,25916.23,24.95,41.43,-9.04,-3.15,-3977.79,-3.72,-2.26,-1.22,-2728.07,-575.52
2024-09-25 11:55:00+05:30,25878.4,25882.4,25871.35,25880.25,25878.0,25906.24,-1,25920.92,-1,25902.05,25912.75,27.34,39.55,-9.28,-4.13,-3087.23,-2.57,-2.32,-1.34,957.92,-453.78
2024-09-25 12:00:00+05:30,25880.75,25893.25,25875.8,25892.15,25887.07,25906.24,-1,25920.92,-1,25899.06,25910.42,37.51,39.28,-4.63,-4.38,-450.61,3.5,-1.15,-0.9,3719.82,-68.27
2024-09-25 12:05:00+05:30,25892.45,25898.8,25885.95,25886.8,25890.52,25906.24,-1,25920.92,-1,25897.35,25908.61,35.13,38.72,-2.64,-4.35,-927.17,1.33,-0.66,-0.7,-634.5,-142.57
2024-09-25 12:10:00+05:30,25887.7,25890.35,25878.8,25880.15,25883.1,25906.24,-1,25920.92,-1,25894.5,25906.29,32.38,37.88,-4.4,-4.55,-1451.95,-2.87,-1.1,-0.9,-782.81,-216.94
2024-09-25 12:15:00+05:30,25879.2,25889.8,25875.35,25888.95,25884.7,25906.24,-1,25920.92,-1,25892.54,25904.33,39.16,38.05,-3.03,-4.55,291.72,0.62,-0.76,-0.76,2093.89,44.88
2024-09-25 12:20:00+05:30,25888.6,25890.95,25882.45,25887.8,25887.07,25906.24,-1,25920.92,-1,25891.45,25902.76,38.62,38.13,-1.69,-4.37,128.51,0.92,-0.42,-0.61,-137.9,21.02
